Country.Name,year,GDP
Aruba,X1960,NA
Afghanistan,X1960,537777811.1
Angola,X1960,NA
Albania,X1960,NA
Andorra,X1960,NA
United Arab Emirates,X1960,NA
Argentina,X1960,NA
Armenia,X1960,NA
American Samoa,X1960,NA
Antigua and Barbuda,X1960,NA
Australia,X1960,18573188487
Austria,X1960,6592693841
Azerbaijan,X1960,NA
Burundi,X1960,195999990
Belgium,X1960,11658722591
Benin,X1960,226195579.4
Burkina Faso,X1960,330442817.2
Bangladesh,X1960,4274893913
Bulgaria,X1960,NA
Bahrain,X1960,NA
Bahamas,X1960,169803921.6
Bosnia and Herzegovina,X1960,NA
Belarus,X1960,NA
Belize,X1960,28071888.56
Bermuda,X1960,84466654.08
Bolivia,X1960,563110051.9
Brazil,X1960,15165569913
Barbados,X1960,NA
Brunei,X1960,NA
Bhutan,X1960,NA
Botswana,X1960,30412308.99
Central African Republic,X1960,112155598.9
Canada,X1960,41093453545
Switzerland,X1960,9522746719
Channel Islands,X1960,NA
Chile,X1960,4.11E+09
China,X1960,59716467625
Ivory Coast,X1960,546203561.6
Cameroon,X1960,618740988
Democratic Republic of the Congo,X1960,3359404118
Republic of Congo,X1960,131731862.6
Colombia,X1960,4040948154
Comoros,X1960,NA
Cape Verde,X1960,NA
Costa Rica,X1960,507513830
Cuba,X1960,NA
Curacao,X1960,NA
Cayman Islands,X1960,NA
Cyprus,X1960,NA
Czech Republic,X1960,NA
Germany,X1960,NA
Djibouti,X1960,NA
Dominica,X1960,NA
Denmark,X1960,6248946880
Dominican Republic,X1960,672399700
Algeria,X1960,2723648552
Ecuador,X1960,1010325138
Egypt,X1960,NA
Eritrea,X1960,NA
Spain,X1960,12072126075
Estonia,X1960,NA
Ethiopia,X1960,NA
Finland,X1960,5224102196
Fiji,X1960,112328422.1
France,X1960,62651474947
Faroe Islands,X1960,NA
Micronesia,X1960,NA
Gabon,X1960,141468977.6
UK,X1960,72328047042
Georgia,X1960,NA
Ghana,X1960,1217230038
Gibraltar,X1960,NA
Guinea,X1960,NA
Gambia,X1960,NA
Guinea-Bissau,X1960,NA
Equatorial Guinea,X1960,NA
Greece,X1960,4446528165
Grenada,X1960,NA
Greenland,X1960,NA
Guatemala,X1960,1043599900
Guam,X1960,NA
Guyana,X1960,170215248.2
"Hong Kong SAR, China",X1960,1320796652
Honduras,X1960,335650000
Croatia,X1960,NA
Haiti,X1960,NA
Hungary,X1960,NA
Indonesia,X1960,NA
Isle of Man,X1960,NA
India,X1960,36535925031
Ireland,X1960,1939329775
Iran,X1960,4199134390
Iraq,X1960,1684121535
Iceland,X1960,248434097
Israel,X1960,2598500000
Italy,X1960,40385288344
Jamaica,X1960,699050679
Jordan,X1960,NA
Japan,X1960,44307342950
Kazakhstan,X1960,NA
Kenya,X1960,791265458.8
Kyrgyzstan,X1960,NA
Cambodia,X1960,637142865.7
Kiribati,X1960,NA
St. Kitts and Nevis,X1960,12366563.61
South Korea,X1960,3957873926
Kuwait,X1960,NA
Laos,X1960,NA
Lebanon,X1960,NA
Liberia,X1960,190495600
Libya,X1960,NA
Saint Lucia,X1960,NA
Liechtenstein,X1960,NA
Sri Lanka,X1960,1409873950
Lesotho,X1960,34579308.41
Lithuania,X1960,NA
